images,name,class,pi,category,transmission,power_hp,weight_lbs,price,speed,handling,acceleration,breaking
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_046.jpg,2017 Abarth 124 SPIDER,C,577,MODERN SPORTS CARS,RWD,165,2478,43500,6.0,5.9,5.6,5.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_259.jpg,2016 Abarth 695 BIPOSTO,B,607,HOT HATCH,FWD,186,2198,48000,5.7,6.3,5.9,6.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_127.jpg,1980 Abarth FIAT 131,D,449,CLASSIC RALLY,RWD,139,2161,38000,5.5,4.7,5.5,4.5
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_249.jpg,1968 Abarth 595 ESSEESSE,D,100,CULT CARS,RWD,28,1257,35000,3.9,4.0,3.7,4.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_358.jpg,2017 Acura NSX,S1,850,MODERN SUPERCARS,AWD,572,3803,170000,7.4,7.6,9.6,8.3
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_264.jpg,2002 Acura RSX TYPE-S,C,588,RETRO HOT HATCH,FWD,200,2820,25000,6.3,5.8,5.6,5.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_085.jpg,2001 Acura INTEGRA TYPE-R,C,596,RETRO HOT HATCH,FWD,194,2639,25000,6.3,5.8,5.6,5.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_528.jpg?v=1,2018 Alfa Romeo STELVIO QUADRIFOGLIO,A,752,SPORTS UTILITY HEROES,AWD,506,4361,80000,7.2,5.9,9.0,6.3
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_238.jpg,2017 Alfa Romeo GIULIA QUADRIFOGLIO,A,795,SUPER SALOONS,RWD,505,3750,120000,7.7,7.2,6.9,7.9
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_058.jpg,2016 Alfa Romeo GIULIA QUADRIFOGLIO FORZA EDITION,S1,812,SUPER SALOONS,RWD,505,3823,370000,7.7,7.5,7.3,8.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_393.jpg,2014 Alfa Romeo 4C,A,770,MODERN SPORTS CARS,RWD,240,2072,74000,6.6,7.1,6.5,7.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_137.jpg,2007 Alfa Romeo 8C COMPETIZIONE,A,777,GT CARS,RWD,450,3494,300000,7.5,6.6,6.6,6.8
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_312.jpg,2007 Alfa Romeo 8C COMPETIZIONE FORZA EDITION,S1,855,GT CARS,RWD,450,3086,550000,7.5,8.4,8.0,8.6
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_730.jpg?v=1,1992 Alfa Romeo 155 Q4,C,541,RETRO SALOONS,AWD,186,3064,250000,6.2,5.0,5.8,4.7
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_241.jpg,1968 Alfa Romeo 33 STRADALE,A,716,CLASSIC RACERS,RWD,245,1543,10000000,6.9,5.8,6.9,5.5
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_075.jpg,1965 Alfa Romeo GIULIA SPRINT GTA STRADALE,D,432,RARE CLASSICS,RWD,115,1676,300000,5.1,4.6,5.4,4.5
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_062.jpg,1965 Alfa Romeo GIULIA TZ2,B,639,CLASSIC RACERS,RWD,170,1367,2500000,6.3,5.7,5.8,5.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_512.jpg,1934 Alfa Romeo P3,B,626,VINTAGE RACERS,RWD,286,1653,10000000,6.6,5.0,5.6,4.9
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_662.jpg?v=5,2017 Alpine A110,A,740,MODERN SPORTS CARS,RWD,248,2432,250000,6.7,7.0,6.9,6.9
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_163.jpg,2015 Alumi Craft CLASS 10 RACE CAR,B,673,OFFROADS BUGGIES,RWD,196,2200,100000,5.3,6.5,6.6,6.2
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_162.jpg,2015 Alumi Craft CLASS 10 RACE CAR FORZA EDITION,B,679,OFFROADS BUGGIES,RWD,196,2094,350000,5.3,6.5,6.8,6.3
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_068.jpg,1973 AMC GREMLIN X,D,394,CULT CARS,RWD,150,2840,35000,5.0,4.4,5.2,4.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_105.jpg,1971 AMC JAVELIN AMX,C,512,CLASSIC MUSCLE,RWD,330,3446,35000,5.4,4.5,5.2,4.2
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_624.jpg?v=1,"1970 AMC REBEL ""THE MACHINE""",C,451,CLASSIC MUSCLE,RWD,341,3651,250000,5.9,4.6,5.3,4.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_148.jpg,2554 AMG TRANSPORT DYNAMICS M12S WARTHOG CST,A,756,EXTREME OFFROAD,AWD,720,5071,850000,5.2,7.1,9.7,7.5
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_617.jpg?v=1,2018 Apollo INTENSA EMOZIONE,S2,984,EXTREME TRACK TOYS,RWD,780,2756,1050000,7.9,10.0,8.3,10.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_496.jpg,2016 Ariel NOMAD,A,732,OFFROADS BUGGIES,RWD,236,1477,93000,6.0,6.3,7.6,6.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_276.jpg,2013 Ariel ATOM 500 V8,S2,970,EXTREME TRACK TOYS,RWD,475,1433,108000,7.0,10.0,8.6,10.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_003.jpg,2012 Ascari KZ1R,S1,866,MODERN SUPERCARS,RWD,520,2976,240000,7.9,8.6,7.4,8.9
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_640.jpg?v=1,2019 Aston Martin DBS SUPERLEGGERA,S1,853,SUPER GT,RWD,715,3966,250000,8.2,7.4,6.9,8.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_533.jpg?v=1,2018 Aston Martin Vantage,S1,822,SUPER GT,RWD,503,3497,430000,7.5,7.5,6.9,7.9
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_318.jpg,2017 Aston Martin DB11,S1,810,SUPER GT,RWD,607,4134,300000,7.8,7.1,6.8,7.6
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_479.jpg,2017 Aston Martin DB11 PREORDER CAR,S1,900,SUPER GT,RWD,800,2866,300000,8.9,8.2,6.7,8.7
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_641.jpg?v=1,2017 Aston Martin VANQUISH ZAGATO COUPE,S1,824,SUPER GT,RWD,595,3891,250000,7.8,7.3,6.9,8.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_676.jpg?v=1,2017 Aston Martin VULCAN AMR PRO,S2,954,EXTREME TRACK TOYS,RWD,819,2998,1500000,7.7,10.0,7.5,10.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_172.jpg,2016 Aston Martin VANTAGE GT12,S1,846,TRACK TOYS,RWD,592,3450,400000,7.2,8.4,6.9,9.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_439.jpg,2016 Aston Martin VULCAN,S2,954,EXTREME TRACK TOYS,RWD,819,2998,1500000,8.1,10.0,7.5,10.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_099.jpg,2016 Aston Martin VULCAN FORZA EDITION,S2,955,EXTREME TRACK TOYS,RWD,819,2998,1750000,8.1,10.0,7.5,10.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_144.jpg,2013 Aston Martin V12 VANTAGE S,S1,814,SUPER GT,RWD,564,3671,240000,8.2,6.9,6.6,7.4
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_478.jpg,2012 Aston Martin VANQUISH,S1,802,SUPER GT,RWD,564,3834,348000,7.9,7.0,6.7,7.5
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_315.jpg,2010 Aston Martin ONE-77,S1,863,SUPER GT,RWD,749,3307,1400000,8.3,7.5,7.1,8.0
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_419.jpg,1964 Aston Martin DB5,C,534,RARE CLASSICS,RWD,324,3230,800000,6.2,4.7,5.6,4.3
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_501.jpg,1960 Aston Martin DB4 GT ZAGATO,B,619,CLASSIC SPORTS CARS,RWD,314,2701,500000,6.9,5.4,4.6,4.6
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_063.jpg,1958 Aston Martin DBR1,B,688,CLASSIC RACERS,RWD,253,1929,10000000,7.1,5.6,5.3,5.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_660.jpg?v=1,2018 ATS GT,S1,894,MODERN SUPERCARS,RWD,720,2985,250000,8.3,8.0,7.7,8.6
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_184.jpg,2016 Audi R8 V10 PLUS,S1,856,MODERN SUPERCARS,AWD,610,3428,242000,8.2,7.5,9.1,8.1
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_399.jpg,2015 Audi RS 6 AVANT,A,778,SUPER SALOONS,AWD,552,4266,150000,7.8,6.2,8.8,6.7
https://www.kudosprime.com/fh4/images/cars/side/fh4_car_261.jpg,2015 Audi S1,B,679,HOT HATCH,AWD,228,2899,35000,6.3,6.3,6.8,6.6
